ID#;dialog
700400;It gets really tricky.
700401;Correct.
700402;This is completely mental.
700403;Completely, utterly, without question.
700404;The world's mental.  Come on, drink up.  We've got a Horcrux to find.
700405;In case you're interested, I'm Reg Cattermole, Magical Maintenance Department.
700406;Mafalda Hopkirk, assistant in the Improper Use of Magic Office.
700407;I'm nobody.
700408;You're somebody.  Be careful.
700409;Morning, Reg!  Good luck today.
700410;Oh... yeah.  Thanks.
700411;What do you reckon he meant by 'Good luck.'?
700412;Apparently so.
700413;That's bloody disgusting.
700414;Are those...?
700415;Muggles.  In their rightful place.
700416;Move it, will you -- oh, Runcorn! Forgive me...
700417;You appear to be quite popular.
700418;I gotta tell you, I'm starting to freak out a bit.
700419;The Ministry must be hiring young these days.
700420;They're not Ministry.  They're Snatchers.  They hunt Muggle-borns and blood-traitors for a price.
700421;How long did you say this batch of Polyjuice Potion would last, Hermione?
700422;I didn't.
700423;Cattlemole!
700424;It's still raining in my office. Two days now.
700425;Really?  Have you tried an umbrella?
700426;You do realize I'm on my way downstairs, don't you, Cattermole?
700427;Downstairs...?
700428;To interrogate your wife!  If my wife's blood status were in doubt and the Head of the Department of Magical Law Enforcement needed a job doing, I think I'd make it a priority.  You've got one hour.
700429;Oh my god.  What am I going to do? My wife's all alone downstairs?
700430;Ron.  You don't have a wife.
700431;Look, we'll go with you --
700432;No, that's mad.  You two find Umbridge.  I'll be fine.  But how do I stop it raining?
700433;Try Finite Incantatem.  Of course if something's gone wrong with an Atmospheric Charm --
700434;Level Two.  Department of Magical Law Enforcement, including Wizengamot Administration Services, Auror Headquarters and Improper Use of Magic Department.
700435;This is you.
700436;Finite Incantatem, okay.  And if that doesn't work...?
700437;I don't like him being on his own down there.
700438;Ron's been coming here since he was two years old.  It's us you should be worrying about.
700439;You really have horrible teeth, you know that.
700440;I say if we don't locate Umbridge within the hour, we go find Ron and come back another day.  Deal?
700441;Ah, Mafalda!  Travers sent you, did he?  Good.  We'll go straight down.
700442;Oh, yes... of course.
700443;Reckon the old hag will be interrogating Mudbloods all day?
700444;Sh...careful.
700445;Runcorn.
700446;Accio locket.
700447;All right, all right.  Let's calm down, shall we?
700448;It probably just snuck up here from Experimental Charms.  I think none of us will soon forget last month's Poisonous Duck...
700449;R-Runcorn.
700450;M-morning.
700451;Ron, it's me.
700452;Harry!  Blimey, I forgot what you looked like.  Where's Hermione?
700453;She went down to the courtrooms with Umbridge --
700454;I understand, Wakinda, but I can't be a party to that.
700455;Hello, Reg.  Isn't Mary in for questioning today?  Try to have faith.  If there's anything Molly and I can do for you --
700456;Let me guess.  It's raining in Yaxley's office again?
700457;Tell him to try an umbrella.
700458;Arthur!  You know you're being tracked, don't you?
700459;Is that a threat, Runcorn?
700460;No, Arthur.  It's a fact.  They're watching you.
700461;I'll tell you later.  Let's find Hermione.
700462;Bloody cold down here.
700463;I'm half-blood, I tell you!  My father was a wizard!  Look him up! William Alderton!  He worked here for thirty years...
700464;What is it?
700465;It's here...
700466;Reg...
700467;Mary Elizabeth Cattermole?
700468;Yes.
700469;Mother to Maisie, Ellie and Alfred?  Wife to Reginald?
700470;Yes.
700471;A wand was taken from you upon your arrival at the Ministry today, Mrs. Cattermole.  Is this that wand?
700472;Would you please tell the court from which witch or wizard you took this wand.
700473;But I didn't take it.  I got it in Diagon Alley, at Ollivander's, when I was eleven.  It chose me.
700474;No, no, I don't think so, Mrs. Cattermole.  Wands only choose witches.  And you are not a witch.
700475;But I am!  Tell them, Reg!  Tell them what I am!
700476;What the devil are you doing, Albert?
700477;You're lying.  And one mustn't tell lies, Dolores... Stupefy!
700478;Expecto PATRONUM!
700479;Relashio!
700480;You?  It's you! Reg, it's Harry Potter!
700481;'Tis, isn't it?  This'll be one to tell the kids.
700482;Harry Potter...?
700483;Harry... they've seen you.  We've got to get out of here.
700484;Mary.  Go home.  Get the kids. I'll... I'll meet you there.  We have to get out the country, understand?
700485;Mary!  Do as I say!
700486;I'm sorry.  It's just --
700487;Long story.  Nice meeting you.
700488;Piss off.
700489;Seal the exits!  Now!
700490;Harry, quickly, in my bag, there's a small bottle labeled 'Essence of Dittany.'
700491;Quickly!
700492;Accio Dittany.
700493;Unstopper it.
700494;Hermione.  His arm --
700495;Just do it!
700496;What happened?  I thought we were going back to Grimmauld Place.
700497;We were.  We were there.  But Yaxley had hold of me.  I knew we couldn't stay once he'd seen, so when he let go I brought us here. Ron got Splinched.  I'm... sorry.
700498;Don't be stupid.
700499;It's all I feel safe doing.
700500;Salvio Hexia... Protego Totalum...
700501;What're you doing?
700502;Protective enchantments.  I don't fancy another visit like we had on Shaftesbury Avenue, do you? Especially with Ron like this. You can get going on the tent...
700503;Tent?  Where am I supposed to find --
700504;Repello Muggletum... Muffliato...
700505;How're the mushrooms?  Seem to be the only edible things growing round here.
700506;They're great.
700507;Make sure to leave some for Ron.
700508;No problem.
700509;How bad is he?
700510;He'll be alright in a few days. Hopefully.  If we could take him to Hogwarts, to Madam Pomfrey --
700511;So where do we go next?
700512;Dumbledore had a theory.  He felt that the Horcruxes would not be made out of random objects.  And he felt they wouldn't be hidden randomly either.  We know of three so far.  The ring, which according to Dumbledore belonged to Tom Riddle's grandfather.  The diary, which belonged to Tom himself. And this, which -- again, according to Dumbledore -- belonged to his mother.
700513;It scares me a bit, that, thinking it's a piece of Vol--
700514;No, don't!  Don't say it!
700515;It's taboo -- You-Know-Who's name. That's how they track people now. It's how they found us in the cafe that night.
700516;How d'you know?
700517;I overheard a bloke from the Enforcement office talking about it at the Ministry.  Blimey, what's that smell?
700518;Dinner?
700519;Not bloody likely.  Smells like something Ginny would cook.
700520;Tea?
700521;Is that it?
700522;I know.  I felt it too. It's... it's like it's ticking or something, like it has a tiny metal heart, like it's --
700523;... alive.
700524;I hate it.  It's like he's here with us.
700525;That's why we're going to kill it.
700526;Dissendium!
700527;Incendio!
700528;Expulso!
700529;Confringo!
